Name,Price,Warranty,Brand,Purpose,Color,gen,CPU,Number of cores,Clock,Cache,OS,Ram,Max Ram,Display Size,Touchable,Display Res,Integrated Graphics,AddGraphics,VGA Memory,HDD,SSD,Optical Disk,Number Keys,LED,USB Ports,HDMI Ports,LANPorts,VGAPorts,Weight,Cells pin,VR support
Máy xách tay/ Laptop Dell Inspiron 3567-C5I31120 (Đen),10.690.000 ?,12,Dell,Multimedia,Đen,Intel Core i3 6th Gen,i3-6006U,2,2.0 GHz,3MB,Free DOS,4GB,Đang cập nhật,"15.6""",Không,1360 x 768,Intel HD Graphics,Radeon R5 M430,2GB,1TB,Không có,Không,Có,Không có,3,1,Có,Không,2.1kg,4,Không
Máy xách tay/ Laptop Dell Inspiron 15 5570-N5570B (Bạc),23.190.000 ?,12,Dell,Multimedia,Bạc,Intel Core i7 8th Gen,I7-8550U,4,1.8 GHz,6MB,Windows 10,8GB,Đang cập nhật,"15.6""",Không,1920 x 1080,Intel UHD Graphics 620,AMD Radeon 530,4GB,2TB,Không có,Có,Có,Đơn sắc,4,1,Có,Không,2.12 Kg,3,Không
Máy xách tay/ Laptop Dell Vostro 3568-V3568A (Đen),13.690.000 ?,12,Dell,Multimedia,Đen,Intel Core i5 7th Gen,i5-7200U,2,2.5 GHz,3MB,Free DOS,4GB,Đang cập nhật,"15.6""",Không,1366 x 768,Intel HD Graphics 620,AMD Radeon R5 M420,2GB,1TB,Không có,Có,Có,Không có,2,1,Có,Không,2.18kg,4,Không
Máy xách tay/ Laptop Acer Nitro 5 AN515-51-79WJ (NH.Q2QSV.004) (Đen),24.690.000 ?,12,Acer,Gaming,Đen,Intel Core i7 7th Gen,i7-7700HQ,4,2.8 GHz,6MB,Linux,8GB,Đang cập nhật,"15.6""",Không,1920 x 1080,Intel HD Graphics,NVIDIA GeForce GTX 1050Ti,4GB,1TB,128GB,Không,Có,Đơn sắc,4,1,Có,Không,2.45 kg,4,Không
Máy xách tay/ Laptop Acer E5-475-31KC (NX.GCUSV.001) (Xám),8.690.000 ?,12,Acer,Multimedia,Xám,Intel Core i3 6th Gen,i3-6006U,2,2.0 GHz,3MB,Free DOS,4GB,8GB,"14.0""",Không,1366 x 768,Intel HD Graphics,Không có,Không,500GB,Không có,Không,Có,Không có,3,1,Có,Có,2.1Kg,4,Không
Máy xách tay/ Laptop Asus X542UQ-GO242T (I7-8550U) (??ng),16.790.000 ?,24,Asus,Multimedia,Vàng,Intel Core i7 8th Gen,I7-8550U,4,1.8 GHz,8MB,Windows 10,4GB,Đang cập nhật,"15.6""",Không,1366 x 768,Intel HD Graphics 620,NVIDIA GeForce 940MX,2GB,1TB,Không có,Có,Có,Không có,3,1,Có,Có,2.15kg,2,Không
Máy xách tay/ Laptop Dell Vostro 5568-077M53 (I5-7200U) (Vàng),16.590.000 ?,12,Dell,Multimedia,Vàng,Intel Core i5 7th Gen,i5-7200U,2,2.5 GHz,3MB,Linux,4GB,Đang cập nhật,"15.6""",Không,1366 x 768,Intel HD Graphics,nvidia geforce 940m,2GB,1TB,Không có,Không,Có,Không có,4,1,Có,Có,2kg,3,Không
Máy xách tay/ Laptop Asus X510UQ-BR632T (I5-8250U) (Xám),13.590.000 ?,24,Asus,Multimedia,Xám,Intel Core i5 8th Gen,i5-8250U,4,1.6 GHz,6MB,Windows 10,4GB,Đang cập nhật,"15.6""",Không,1366 x 768,Intel HD Graphics 620,NVIDIA GeForce 940MX,2GB,1TB,Không có,Không,Không,Không có,4,1,Có,Không,1.7kg,3,Không
Máy xách tay/ Laptop Dell Inspiron 14 3467-M20NR2 (Đen),10.490.000 ?,12,Dell,Multimedia,Đen,Intel Core i3 7th Gen,i3-7100U,2,2.4 GHz,3MB,Free DOS,4GB,Đang cập nhật,"14.0""",Không,1366 x 768,Intel HD Graphics 620,Không có,Không,1TB,Không có,Có,Không,Không có,3,1,Có,Không,1.81kg,4,Không
Máy xách tay/ Laptop Dell Vostro 5568 (F5568-70134546) (Vàng),15.590.000 ?,12,Dell,Multimedia,Vàng,Intel Core i5 7th Gen,i5-7200U,2,2.5 GHz,3MB,Free DOS,4GB,16GB,"15.6""",Không,1366 x 768,Intel HD Graphics 620,Không có,Không,1TB,Không có,Không,Có,Không có,4,1,Có,Có,2.3kg,3,Không
Máy xách tay/ Laptop Acer A515-51G-51EM (NX.GTCSV.002) (Đen),15.199.000 ?,12,Acer,Multimedia,Đen,Intel Core i5 8th Gen,i5-8250U,4,1.6 GHz,6MB,Windows 10,4GB,Đang cập nhật,"15.6""",Không,1920 x 1080,Intel HD Graphics 620,NVIDIA GeForce MX150,2GB,1TB,Không có,Không,Có,Không có,4,1,Có,Không,2.2kg,4,Không
Máy xách tay/ Laptop Asus X510UA-BR649T (I5-8250U) (??ng),12.990.000 ?,24,Asus,Multimedia,Vàng,Intel Core i5 8th Gen,i5-8250U,4,1.6 GHz,6MB,Windows 10,4GB,Đang cập nhật,"15.6""",Không,1366 x 768,Intel UHD Graphics 620,Không có,Không,1TB,Không có,Không,Không,Không có,4,1,Không,Không,1.7kg,3,Không
Máy xách tay/ Laptop Dell Vostro 5471-VTI5207W (Bạc),17.290.000 ?,12,Dell,Multimedia,Bạc,Intel Core i5 8th Gen,i5-8250U,4,1.6 GHz,6MB,Windows 10,4GB,Đang cập nhật,"14.0""",Không,1920 x 1080,Intel HD Graphics 620,Không có,Không,1TB,Không có,Không,Không,Không có,3,1,Có,Không,1.66kg,3,Không
Máy xách tay/ Laptop HP Probook 430 G5-2XR79PA (Bạc),21.490.000 ?,12,HP,Multimedia,Bạc,Intel Core i7 8th Gen,I7-8550U,4,1.8 GHz,8MB,Free DOS,8GB,Đang cập nhật,"13.3""",Không,1920 x 1080,Intel HD Graphics 620,Không có,Không,1TB,Không có,Không,Không,Không có,3,1,Có,Không,1.6 kg,3,Không
Máy xách tay/ Laptop Lenovo Yoga 520-14IKB-80X8005RVN (I3-7100U) (Vàng),12.490.000 ?,12,Lenovo,Multimedia,Vàng,Intel Core i3 7th Gen,i3-7100U,2,2.4 GHz,3MB,Windows 10,4GB,Đang cập nhật,"14.0""",Không,1366 x 768,Intel HD Graphics,Không có,Không,1TB,Không có,Không,Không,Không có,3,1,Không,Không,1.8kg,3,Không
Máy xách tay/ Laptop Acer E5-576G-87FG (NX.GRQSV.002) (Xám),16.990.000 ?,12,Acer,Multimedia,Xám,Intel Core i7 8th Gen,I7-8550U,4,1.8 GHz,8MB,Linux,4GB,Đang cập nhật,"15.6""",Không,1920 x 1080,Intel HD Graphics 620,NVIDIA GeForce MX150,2GB,1TB,Không có,Không,Có,Không có,4,1,Có,Không,2.19kg,4,Không
Máy xách tay/ Laptop HP Pavilion X360 14-ba062TU (2GV24PA) (Bạc),12.490.000 ?,12,HP,Multimedia,Bạc,Intel Core i3 7th Gen,i3-7100U,2,2.4 GHz,3MB,Windows 10,4GB,16GB,"14.0""",Không,1366 x 768,Intel HD Graphics 620,Không có,Không,500GB,Không có,Không,Không,Không có,3,1,Không,Không,1.7kg,3,Không
Máy xách tay/ Laptop Dell Inspiron 14 3467-M20NR11 (I3-6006U) (Đen),10.990.000 ?,12,Dell,Multimedia,Đen,Intel Core i3 6th Gen,i3-6006U,2,2.0 GHz,3MB,Windows 10,4GB,Đang cập nhật,"14.0""",Không,1366 x 768,Intel HD Graphics 520,Không có,Không,1TB,Không có,Có,Không,Không có,3,1,Có,Không,1.81kg,4,Không
Máy xách tay/ Laptop Dell Inspiron 3567-N3567B (Đen),12.090.000 ?,12,Dell,Multimedia,Đen,Intel Core i3 7th Gen,i3-7100U,2,2.4 GHz,3MB,Windows 10,6GB,Đang cập nhật,"15.6""",Không,1366 x 768,Intel HD Graphics,Không có,Không,1TB,Không có,Có,Có,Không có,2,1,Có,Không,2kg,3,Không
Máy xách tay/ Laptop Dell Inspiron 3567-N3567D (Đen),11.490.000 ?,12,Dell,Multimedia,Đen,Intel Core i3 6th Gen,i3-6006U,2,2.0 GHz,3MB,Windows 10,4GB,16GB,"15.6""",Không,1366 x 768,Intel HD Graphics 520,Không có,Không,1TB,Không có,Có,Có,Không có,3,1,Có,Không,2kg,4,Không
Máy xách tay/ Laptop Asus UX430UA-GV261T (I5-8250U) (Vàng ??ng),21.190.000 ?,24,Asus,Multimedia,Vàng,Intel Core i5 8th Gen,i5-8250U,4,1.6 GHz,6MB,Windows 10,8GB,Đang cập nhật,"14.0""",Không,1920 x 1080,Intel UHD Graphics 620,Không có,Không,Không có,256GB,Không,Không,Không có,3,1,Không,Không,1.25kg,3,Không
Máy xách tay/ Laptop Acer ES1-432-C3C9 (NX.GFSSV.005) (Đen),5.990.000 ?,12,Acer,Multimedia,Đen,Intel Celeron,N3350,2,1.1 GHz,2MB,Free DOS,2GB,Đang cập nhật,"14.0""",Không,1366 x 768,Intel HD Graphics 500,Không có,Không,500GB,Không có,Không,Không,Không có,3,1,Có,Không,1.35kg,4,Không
Máy xách tay/ Laptop Acer E5-575-35M7 (NX.GLBSV.010) (Xám),8.499.000 ?,12,Acer,Multimedia,Xám,Intel Core i3 6th Gen,i3-6006U,2,2.0 GHz,3MB,Free DOS,4GB,Đang cập nhật,"15.6""",Không,1920 x 1080,Intel HD Graphics 520,Không có,Không,500GB,Không có,Có,Có,Không có,4,1,Có,Không,2.2kg,4,Không
Máy xách tay/ Laptop Acer Spin 3 SP314-51-36JE (NX.GUWSV.005) I3-7130U (Xám),13.489.000 ?,12,Acer,Multimedia,Đen,Intel Core i3 7th Gen,i3-7130U,2,2.7 GHz,3MB,Windows 10,4GB,Đang cập nhật,"14.0""",Có,1920 x 1080,Intel HD Graphics 620,Không có,Không,1TB,Không có,Không,Không,Không có,3,1,Có,Không,1.7 kg,3,Không
Máy xách tay/ Laptop Acer E5-576G-54JQ (NX.GRQSV.001) (Xám),13.299.000 ?,12,Acer,Multimedia,Xám,Intel Core i5 8th Gen,i5-8250U,4,1.6 GHz,6MB,Linux,4GB,Đang cập nhật,"15.6""",Không,1920 x 1080,Intel HD Graphics 620,NVIDIA GeForce MX150,2GB,1TB,Không có,Có,Có,Không có,3,1,Có,Không,2.2 kg,4,Không
Máy xách tay/ Laptop Dell Inspiron 5370-N3I3001W (Bạc),14.990.000 ?,12,Dell,Multimedia,Bạc,Intel Core i3 7th Gen,i3-7130U,2,2.7 GHz,3MB,Windows 10,4GB,Đang cập nhật,"13.3""",Không,1920 x 1080,Intel HD Graphics 620,Không có,Không,Không có,128GB,Không,Có,Không có,3,1,Không,Không,1.4kg,3,Không
Máy xách tay/ Laptop HP Probook 430 G4-1RR41PA (Bạc),18.090.000 ?,12,HP,Multimedia,Bạc,Intel Core i7 7th Gen,i7-7500U,2,2.7 GHz,4MB,Free DOS,4GB,Đang cập nhật,"13.3""",Không,1366 x 768,Intel HD Graphics 620,Không có,Không,Không có,256GB,Không,Không,Không có,3,1,Có,Có,1.5kg,4,Không
Máy xách tay/ Laptop HP Pavilion X360 14-ba069TU (2GV31PA) (Vàng),19.490.000 ?,12,HP,Multimedia,Vàng,Intel Core i7 7th Gen,i7-7500U,2,2.7 GHz,4MB,Windows 10,4GB,Đang cập nhật,"14.0""",Không,1920 x 1080,Intel HD Graphics 620,Không có,Không,500GB,Không có,Không,Không,Không có,3,1,Không,Không,1.63 kg,3,Không
Máy xách tay/ Laptop Acer A7 A715-71G-57LL (NX.GP8SV.006) (Đen),19.490.000 ?,12,Acer,Multimedia,Đen,Intel Core i5 7th Gen,i5-7300HQ,4,2.5 GHz,6MB,Windows 10,8GB,Đang cập nhật,"15.6""",Không,1920 x 1080,Intel HD Graphics 630,NVIDIA Geforce GTX 1050,2GB,1TB,Không có,Không,Có,Không có,4,1,Có,Không,2.4kg,4,Không
Máy xách tay/ Laptop Lenovo Thinkpad E570-20H5A02FVA (Đen),13.990.000 ?,12,Lenovo,Multimedia,Đen,Intel Core i5 7th Gen,i5-7200U,2,2.5 GHz,3MB,Free DOS,4GB,Đang cập nhật,"15.6""",Không,1366 x 768,Intel HD Graphics 620,Không có,Không,500GB,Không có,Có,Có,Không có,3,1,Có,Không,2.2kg,3,Không
Máy xách tay/ Laptop Acer E5-575G-39QW (NX.GDWSV.005) (Đen),10.690.000 ?,12,Acer,Multimedia,Đen,Intel Core i3 7th Gen,i3-7100U,2,2.4 GHz,3MB,Free DOS,4GB,16GB,"15.6""",Không,1920 x 1080,Intel HD Graphics,NVIDIA GeForce 940MX,2GB,500GB,Không có,Có,Có,Không có,4,1,Có,Có,2.3kg,4,Không
Máy xách tay/ Laptop Asus GL503VD-GZ119T (I7-7700HQ) (Đen),26.990.000 ?,24,Asus,Gaming,Đen,Intel Core i7 7th Gen,i7-7700HQ,4,2.8 GHz,6MB,Windows 10,8GB,32GB,"15.6""",Không,1920 x 1080,Intel HD Graphics 630,NVIDIA Geforce GTX 1050,4GB,1TB,Không có,Không,Có,RGB,5,1,Có,Không,2.3kg,4,Không
Máy xách tay/ Laptop Acer E5-575G-37WF (NX.GDWSV.006) (Đen),10.090.000 ?,12,Acer,Multimedia,Đen,Intel Core i3 7th Gen,i3-7100U,2,2.4 GHz,3MB,Free DOS,4GB,16GB,"15.6""",Không,1920 x 1080,Intel HD Graphics,NVIDIA GeForce 940MX,2GB,500GB,Không có,Có,Có,Không có,2,1,Có,Không,2.23kg,4,Không
Máy xách tay/ Laptop Acer Spin 3 SP314-51-57RM (NX.GUWSV.004) I5-8250U (Xám),16.489.000 ?,12,Acer,Multimedia,Xám,Intel Core i5 8th Gen,i5-8250U,4,1.6 GHz,6MB,Windows 10,4GB,Đang cập nhật,"14.0""",Có,1920 x 1080,Intel UHD Graphics 620,Không có,Không,1TB,Không có,Không,Không,Không có,3,1,Không,Không,1.7kg,3,Không
Máy xách tay/ Laptop Acer A515-51G-578V (NX.GP5SV.003) (Đen),14.090.000 ?,12,Acer,Multimedia,Đen,Intel Core i5 7th Gen,i5-7200U,2,2.5 GHz,3MB,Windows 10,4GB,16GB,"15.6""",Không,1920 x 1080,Intel HD Graphics,NVIDIA GeForce 940MX,2GB,1TB,Không có,Không,Có,Không có,4,1,Có,Không,2.2kg,4,Không
Máy xách tay/ Laptop Acer E5-476-58KG (NX.GRDSV.001) (Xám),11.990.000 ?,12,Acer,Multimedia,Xám,Intel Core i5 8th Gen,i5-8250U,4,1.6 GHz,6MB,Free DOS,4GB,Đang cập nhật,"14.0""",Không,1920 x 1080,Intel HD Graphics 620,Không có,Không,1TB,Không có,Có,Không,Không có,3,1,Không,Không,1.98kg,4,Không
Máy xách tay/ Laptop Lenovo Ideapad 320-15IKB 80XL03ARVN (i5-7200U) (Đen),11.890.000 ?,12,Lenovo,Multimedia,Đen,Intel Core i5 7th Gen,i5-7200U,2,2.5 GHz,3MB,Free DOS,4GB,Đang cập nhật,"15.6""",Không,1920 x 1080,Intel HD Graphics 620,Không có,Không,2TB,Không có,Không,Có,Không có,3,1,Có,Không,2.1kg,2,Không
Máy xách tay/ Laptop Dell Vostro 3568-VTI35027 (Đen),10.390.000 ?,12,Dell,Multimedia,Đen,Intel Core i3 6th Gen,i3-6006U,2,2.0 GHz,3MB,Free DOS,4GB,Đang cập nhật,"15.6""",Không,1366 x 768,Intel HD Graphics 520,Không có,Không,1TB,Không có,Có,Có,Không có,3,1,Có,Có,2.2kg,4,Không
Máy xách tay/ Laptop Acer A315-31-P9FW (NX.GNTSV.003) (Đen),7.499.000 ?,12,Acer,Multimedia,Đen,Intel Pentium,N4200,4,1.1 GHz,2MB,Windows 10,4GB,Đang cập nhật,"15.6""",Không,1366 x 768,Intel HD Graphics 500,Không có,Không,500GB,Không có,Không,Không,Không có,3,1,Có,Không,2.1 kg,2,Không
Máy xách tay/ Laptop Acer Swift 3 SF314-52-55UF (NX.GQGSV.002) (Bạc),16.690.000 ?,12,Acer,Multimedia,Bạc,Intel Core i5 8th Gen,i5-8250U,4,1.6 GHz,6MB,Free DOS,4GB,Đang cập nhật,"14.0""",Không,1920 x 1080,Intel HD Graphics 620,Không có,Không,Không có,256GB,Không,Không,Không có,3,1,Có,Không,1.5kg,4,Không
Máy xách tay/ Laptop Acer E5-576G-82UE (NX.GRQSV.006) (Xám),17.690.000 ?,12,Acer,Multimedia,Đen,Intel Core i5 8th Gen,I7-8550U,4,1.8 GHz,8MB,Windows 10,4GB,16GB,"15.6""",Không,1920 x 1080,Intel UHD Graphics 620,NVIDIA GeForce MX150,2GB,1TB,Không có,Có,Có,Đơn sắc,4,1,Có,Có,2.17kg,4,Không
Máy xách tay/ Laptop Lenovo Ideapad 320-15IKB 80XL009YVN (i5-7200U) (Đen),12.990.000 ?,12,Lenovo,Multimedia,Đen,Intel Core i5 7th Gen,i5-7200U,2,2.5 GHz,3MB,Free DOS,4GB,Đang cập nhật,"15.6""",Không,1366 x 768,Intel HD Graphics,NVIDIA GeForce 920MX,2GB,1TB,Không có,Không,Có,Không có,3,1,Có,Có,1.93kg,2,Không
Máy xách tay/ Laptop Acer A515-51G-58MC (NX.GPDSV.006) (Xám),13.990.000 ?,12,Acer,Multimedia,Xám,Intel Core i5 7th Gen,i5-7200U,2,2.5 GHz,3MB,Windows 10,4GB,16GB,"15.6""",Không,1920 x 1080,Intel HD Graphics,NVIDIA GeForce 940MX,2GB,1TB,Không có,Không,Có,Không có,2,1,Có,Không,2 kg,4,Không
Máy xách tay/ Laptop HP Probook 430 G4-Z6T09PA (Bạc),15.590.000 ?,12,HP,Multimedia,Bạc,Intel Core i5 7th Gen,i5-7200U,2,2.5 GHz,3MB,Free DOS,4GB,Đang cập nhật,"13.3""",Không,1366 x 768,Intel HD Graphics 620,Không có,Không,Không có,256GB,Không,Không,Không có,3,1,Có,Có,1.5kg,3,Không
Máy xách tay/ Laptop Lenovo Yoga 520-14IKB-80X800WQVN (I3-7130U) (Vàng),12.490.000 ?,12,Lenovo,Multimedia,Vàng,Intel Core i3 7th Gen,i3-7130U,2,2.7 GHz,3MB,Windows 10,4GB,Đang cập nhật,"14.0""",Có,1360 x 768,Intel HD Graphics 620,Không có,Không,1TB,Không có,Không,Không,Không có,3,1,Không,Không,1.78 Kg,3,Không
Máy xách tay/ Laptop Acer Swift 3 SF314-52-39CV (NX.GNUSV.007) (Bạc),14.790.000 ?,12,Acer,Multimedia,Bạc,Intel Core i3 7th Gen,i3-7130U,2,2.7 GHz,3MB,Windows 10,4GB,Đang cập nhật,"14.0""",Không,1920 x 1080,Intel HD Graphics 620,Không có,Không,Không có,256GB,Không,Không,Không có,2,1,Không,Không,1.5kg,4,Không
Máy xách tay/ Laptop Acer E5-576-56GY (NX.GRNSV.003) (Xám),12.290.000 ?,12,Acer,Multimedia,Xám,Intel Core i5 8th Gen,i5-8250U,4,1.6 GHz,6MB,Linux,4GB,Đang cập nhật,"15.6""",Không,1920 x 1080,Intel HD Graphics 620,Không có,Không,1TB,Không có,Không,Có,Không có,4,1,Có,Có,2.1kg,4,Không
Máy xách tay/ Laptop Acer Swift 3 SF315-51-530V (NX.GSKSV.001) (Xanh),16.290.000 ?,12,Acer,Multimedia,Xanh,Intel Core i5 8th Gen,i5-8250U,4,1.6 GHz,6MB,Windows 10,4GB,Đang cập nhật,"15.6""",Không,1920 x 1080,Intel HD Graphics 620,Không có,Không,1TB,Không có,Không,Có,Không có,4,1,Không,Không,1.35kg,4,Không
Máy xách tay/ Laptop Asus X411UA-BV221T (I3-7100U) (??ng),10.690.000 ?,24,Asus,Multimedia,Vàng,Intel Core i3 7th Gen,i3-7100U,2,2.4 GHz,3MB,Windows 10,4GB,4GB,"14.0""",Không,1366 x 768,Intel HD Graphics 620,Không có,Không,1TB,Không có,Không,Không,Không có,3,1,Không,Không,1.43 Kg,3,Không
Máy xách tay/ Laptop Acer Predator Helios 300 G3-572-79S6 (NH.Q2BSV.002) (Đen),31.190.000 ?,12,Acer,Gaming,Đen,Intel Core i7 7th Gen,i7-7700HQ,4,2.8 GHz,6MB,Free DOS,8GB,Đang cập nhật,"15.6""",Không,1920 x 1080,Intel HD Graphics 630,NVIDIA GeForce GTX 1060,6GB,1TB,128GB,Không,Có,Không có,4,1,Có,Không,2.7 kg,4,Không
Máy xách tay/ Laptop Acer Swift 3 SF315-51G-537U (NX.GSJSV.004) (Xám),17.990.000 ?,12,Acer,Multimedia,Xám,Intel Core i5 8th Gen,i5-8250U,4,1.6 GHz,6MB,Free DOS,4GB,Đang cập nhật,"14.0""",Không,1366 x 768,Intel HD Graphics,NVIDIA GeForce MX150,2GB,1TB,Không có,Không,Không,Không có,3,1,Có,Không,1.8 kg,4,Không
Máy xách tay/ Laptop Acer A315-51-39DJ (NX.GNPSV.030) (Đen),10.990.000 ?,12,Acer,Multimedia,Đen,Intel Core i3 7th Gen,i3-7130U,2,2.7 GHz,3MB,Free DOS,4GB,Đang cập nhật,"15.6""",Không,1920 x 1080,Intel HD Graphics 620,Không có,Không,1TB,Không có,Không,Có,Không có,3,1,Có,Không,2.0 kg,2,Không
Máy xách tay/ Laptop Acer A515-51-37DW (NX.GPASV.008) (Xám),11.499.000 ?,12,Acer,Multimedia,Xám,Intel Core i3 7th Gen,i3-7130U,2,2.7 GHz,3MB,Windows 10,4GB,Đang cập nhật,"15.6""",Không,1920 x 1080,Intel HD Graphics 620,Không có,Không,1TB,Không có,Không,Có,Không có,3,1,Có,Không,1.5kg,4,Không
Máy xách tay/ Laptop HP Probook 450 G5-2ZD40PA (Bạc),12.990.000 ?,12,HP,Multimedia,Bạc,Intel Core i3 7th Gen,i3-7100U,2,2.4 GHz,3MB,Không có,4GB,Đang cập nhật,"15.6""",Không,1366 x 768,Intel HD Graphics 620,Không có,Không,500GB,Không có,Không,Có,Đơn sắc,4,1,Có,Có,2.06 Kg,3,Không
Máy xách tay/ Laptop HP Probook 450 G5-2ZD47PA (Bạc),18.690.000 ?,12,HP,Multimedia,Bạc,Intel Core i5 8th Gen,i5-8250U,4,1.6 GHz,6MB,Free DOS,4GB,Đang cập nhật,"15.6""",Không,1920 x 1080,Intel UHD Graphics 620,NVIDIA GeForce 930MX,2GB,Không có,256GB,Không,Có,Không có,4,1,Có,Có,2.1kg,3,Không
Máy xách tay/ Laptop Acer Swift 5 SF514-52T-87TF (NX.GTMSV.002) I7-8550U (Xanh),27.789.000 ?,12,Acer,Office,Xanh,Intel Core i7 8th Gen,I7-8550U,8,1.8 GHz,8MB,Windows 10,8GB,Đang cập nhật,"14.0""",Có,1920 x 1080,Intel HD Graphics 620,Không có,Không,Không có,256GB,Không,Không,Đơn sắc,2,1,Không,Không,0.94 Kg,3,Không
Máy xách tay/ Laptop Acer Swift 5 SF514-52T-50G2 (NX.GTMSV.001) I5-8250U (Xanh),24.789.000 ?,12,Acer,Office,Xanh,Intel Core i5 8th Gen,i5-8250U,4,1.6 GHz,6MB,Windows 10,8GB,Đang cập nhật,"14.0""",Có,1920 x 1080,Intel HD Graphics 620,Không có,Không,Không có,256GB,Không,Không,Đơn sắc,2,1,Không,Không,0.97 kg,3,Không
"Máy xách tay/ Laptop MacBook 13.3"" MPXU2LL/A (Bạc)",37.200.000 ?,12,Apple,Multimedia,Bạc,i5,i5,2,2.3 GHz,3MB,OS X,8GB,Đang cập nhật,"13.3""",Không,2560 x 1600,Intel HD Graphics,Không có,Không,Không có,256GB,Không,Không,Không có,2,0,Không,Không,1.37kg,Gắn liền,Không
